+-------------------------------------------------------------------------------------------------------------------------------+
|                                               Results of the Duplicates problem                                               |
+------------------------+---------------------+----------------------------------+--------------------+------------------------+
| Numbers of repetitions | Model Creation Time | Solver Creation + Transform Time |     Solve Time     | Overall Execution Time |
+------------------------+---------------------+----------------------------------+--------------------+------------------------+
|          1000          |  1.0090697343864277 |        1.294408058453794         | 1.0709384147621752 |   1.2613094691870554   |
|          1500          |  1.0092845610547543 |        1.2720194129479059        | 1.0113841978041422 |   1.241927116203106    |
|          2000          |  1.0026498000258066 |        1.267816870415476         | 1.0094679350317048 |   1.2394111582192786   |
|          2500          |  0.9848716718303141 |        1.224378520128688         | 0.9479114443540836 |   1.1984033539656767   |
|          3000          |  1.0071529520651332 |        1.2785693965905194        | 1.0235435902904626 |   1.2518259290555591   |
|          3500          |  1.000646733505043  |        1.287892759146391         | 0.9993105728267122 |   1.2595146446910752   |
|          4000          |  0.9915510685264312 |        1.2287480147569554        | 0.8672336762514729 |   1.2030676859430935   |
|          4500          |  1.0210305235627846 |        1.2805248648223697        | 0.9740330727342844 |   1.2548716261843322   |
|          5000          |  1.0015240202305344 |        1.2768199500425077        | 0.9654867362636255 |   1.2501419631307933   |
|          5500          |  1.0033419080307981 |        1.267251930673161         | 0.9739873133832976 |   1.242062186791206    |
|          6000          |  0.9982292454671814 |        1.245396472022696         | 0.9567379051290107 |   1.2220750467835866   |
|          6500          |  0.9983595770103993 |        1.2665500828943301        | 0.9521516102872977 |   1.2409313907718944   |
|          7000          |  0.9967358682941212 |        1.2684030105133595        | 0.9682426602999764 |   1.243130523108513    |
|          7500          |  1.0119205830009366 |        1.271084862643048         | 0.9625491897957369 |   1.2465081917371987   |
|          8000          |  0.9941837384872901 |        1.2729773616888693        | 0.9704183324158971 |   1.2471585578248876   |
|          8500          |  0.9949708065078572 |        1.2475471748026643        | 0.9601481894375993 |   1.224390915294115    |
|          9000          |  0.9908955515399902 |        1.2641860154133895        | 0.9506097967274857 |   1.238872945478679    |
|          9500          |  0.9951975512989968 |        1.2617459006719665        | 0.9505193326310131 |   1.2370207213971485   |
|         10000          |  0.9919556617996961 |        1.2619097961936707        | 0.9191290520428274 |    1.23662774665443    |
+------------------------+---------------------+----------------------------------+--------------------+------------------------+
