+----------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                           Results of the Permutations problem                                                            |
+-----------------------+---------------------+----------------------------------+--------------------+------------------------+---------------------------+
| Number of repetitions | Model Creation Time | Solver Creation + Transform Time |     Solve Time     | Overall Execution Time | number of search branches |
+-----------------------+---------------------+----------------------------------+--------------------+------------------------+---------------------------+
|           10          |  0.9849416647875037 |        3.726661349376075         | 5.333495898128006  |   2.516899979587541    |            nan            |
|           20          |  0.9985467653305499 |        3.7868666135975544        |  9.33181030624808  |   2.573070109058413    |            nan            |
|           30          |  1.0045310018372058 |        3.7483929031661907        | 14.181861776595257 |   2.5747712408978507   |            nan            |
|           40          |  1.0120226007811082 |        3.797455988899235         | 17.580027043835404 |   2.6072332493220394   |            nan            |
|           50          |  0.995059568453266  |        3.7847406943864446        | 23.67351206271667  |   2.602066936162168    |            nan            |
|           60          |  0.9895891335344257 |        3.7480153163451275        | 25.50873617160417  |   2.574839714014091    |            nan            |
|           70          |  0.9955441600262883 |        3.7928354561645805        | 32.388182217381214 |    2.60209805843061    |            nan            |
|           80          |  1.0040051539969612 |        3.8068862760170825        | 33.97294319344829  |   2.6208868073056815   |            nan            |
|           90          |  0.9974635738396146 |        3.7896742120233724        | 39.38404424727823  |   2.6082055170873133   |            nan            |
|          100          |  0.9724012402839354 |        3.7319549141508066        | 47.449355241601104 |   2.563915064443584    |            nan            |
|          110          |  1.0013441538125583 |        3.798985469850264         | 47.57145792214994  |   2.618271048324816    |            nan            |
|          120          |  0.9907624124700113 |        3.7487793325777936        | 57.12401744160269  |   2.591066978424994    |            nan            |
|          130          |  0.9902665933924124 |        3.7619175690170623        | 56.17827529480781  |   2.594138268635121    |            nan            |
|          140          |  0.9737789428493641 |        3.6812419434711643        | 63.50967963773793  |   2.554658491112942    |            nan            |
|          150          |  0.9968315054114163 |        3.818398419495408         | 65.12803613455688  |   2.6301329090530703   |            nan            |
|          160          |  0.9945485665665209 |        3.7439593512100986        | 75.09431764774045  |   2.599240044920264    |            nan            |
|          170          |  1.005256887279385  |        3.795189641816996         |  76.5755279672131  |   2.6262943102388725   |            nan            |
|          180          |  1.0000915890775262 |        3.770348822092946         |  78.3729979571731  |   2.614419628918014    |            nan            |
|          190          |  0.9974567788146529 |        3.7697955626897546        | 91.07331105771942  |   2.614780776245275    |            nan            |
|          200          |  1.0066196760339963 |        3.8117784051401293        | 93.08771117824399  |    2.64139347618084    |            nan            |
+-----------------------+---------------------+----------------------------------+--------------------+------------------------+---------------------------+
