+------------------------------------------------------------------------------------------------------------------------------+
|                                             Results of the Permutations problem                                              |
+-----------------------+---------------------+----------------------------------+--------------------+------------------------+
| Number of repetitions | Model Creation Time | Solver Creation + Transform Time |     Solve Time     | Overall Execution Time |
+-----------------------+---------------------+----------------------------------+--------------------+------------------------+
|           10          |  0.9960145987823998 |        0.998635057298269         | 0.9832223064110557 |   0.9973871420340682   |
|           20          |  1.0092147887560072 |        0.996190066179366         | 0.9834939255908315 |   0.9971603254779311   |
|           30          |  0.9999383039610221 |        0.9903100809933013        | 0.9921686798257975 |   0.9912437887867142   |
|           40          |  1.0045728557652212 |        1.005396370454153         | 1.0135934572982837 |   1.0055608557818294   |
|           50          |  0.9998137385539057 |        1.0044817737001135        | 0.994226641427565  |   1.003782817285214    |
|           60          |  1.0158283871269287 |        1.004225756244034         | 1.0109090948875277 |   1.0055190139702406   |
|           70          |  0.9932338697675858 |        0.9951636306060816        | 0.9856641546485047 |   0.9948814317121623   |
|           80          |  0.9956171667249509 |        0.9990567509950125        | 0.9938580051505163 |   0.9986370267232129   |
|           90          |  1.0070253993816323 |        1.0019569937263981        | 0.990114537644719  |   1.002325733923303    |
|          100          |  0.9983270688443373 |        0.9971242149933145        | 0.977622828325834  |   0.9970415786982391   |
|          110          |  0.9991124808517386 |        0.996298943941674         | 0.9843532039166509 |   0.9964437860342195   |
|          120          |  1.0039116864559294 |        0.9984817777672881        | 0.994171641543218  |   0.9990211918252506   |
|          130          |  1.0069025647303962 |        0.994468075807251         | 1.0049584306259762 |   0.9958580664212464   |
|          140          |  0.987762570343117  |        0.9858316357333238        | 0.998851116557105  |   0.9861118841493294   |
|          150          |  0.9917758685044253 |        0.9902068748460919        | 0.9876051848843131 |   0.9903256422767874   |
|          160          |  0.9978330158319801 |        0.9935476650145145        | 0.9963224466348252 |   0.993978166652329    |
|          170          |  1.002824861108409  |        0.9915379820977427        | 0.9953281222841976 |   0.9926609403427562   |
|          180          |  1.0014750807188206 |        0.9996431932376987        | 0.9743617290052816 |   0.9996120607645425   |
|          190          |  1.0019557357324373 |        1.001736199142944         | 1.0149020857380413 |   1.0018770089656637   |
|          200          |  0.9991899299531956 |        0.9974358347853088        | 0.9981628103392544 |   0.9976421664572673   |
+-----------------------+---------------------+----------------------------------+--------------------+------------------------+
