+----------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                      Results of a problem with a lot of duplicates                                                       |
+-----------------------+---------------------+----------------------------------+--------------------+------------------------+---------------------------+
| Number of repetitions | Model Creation Time | Solver Creation + Transform Time |     Solve Time     | Overall Execution Time | number of search branches |
+-----------------------+---------------------+----------------------------------+--------------------+------------------------+---------------------------+
|           10          |  0.9948070053097594 |        3.681837739753719         | 5.766646227904642  |   2.8574587427843254   |            nan            |
|           20          |  0.997546905957972  |        3.7216236385329338        | 10.239696955431622 |   2.9213493474931735   |            nan            |
|           30          |  1.003008917047051  |        3.7378980960979886        | 14.00985903188253  |    2.93925606778034    |            nan            |
|           40          |  1.0045321096069355 |        3.765751399012308         | 18.68912872941702  |   2.9651330280517207   |            nan            |
|           50          |  1.011377735147027  |        3.695036200105542         | 21.54985980328578  |   2.9321030155083174   |            nan            |
|           60          |  1.0068032963572209 |        3.7325502705165454        | 25.601447462618825 |   2.9565038737644707   |            nan            |
|           70          |  0.9957885359842865 |        3.7310273384706125        | 36.88172880236306  |   2.955464650457412    |            nan            |
|           80          |  1.004336609900949  |        3.742253971333124         | 34.391604219508956 |   2.9696976037474014   |            nan            |
|           90          |  0.9986309267923026 |        3.7299895295022765        | 40.107487836260376 |   2.957503214811212    |            nan            |
|          100          |  0.9934863540726334 |        3.6955152234116997        | 42.821545911455644 |   2.941908728946032    |            nan            |
|          110          |  0.9962380641899562 |        3.729589500194597         | 46.918123218265336 |   2.960794555620259    |            nan            |
|          120          |  0.9986231526217383 |        3.717144164090906         | 53.922163402723605 |   2.958280273042096    |            nan            |
|          130          |  0.9951377736567383 |        3.7160003253534035        | 54.41319287929954  |   2.955053182645157    |            nan            |
|          140          |  0.9991833621029081 |        3.7244800192396035        |  59.0546407250459  |   2.9645047638028563   |            nan            |
|          150          |  0.9981308969303513 |        3.7187294896029726        | 68.08918454178364  |   2.962461294279996    |            nan            |
|          160          |  0.9937259715475623 |        3.712067051131504         |  76.4814771414579  |   2.953478990797072    |            nan            |
|          170          |  0.9962172064386324 |        3.714808213907851         | 76.40716692852706  |   2.959447013242851    |            nan            |
|          180          |  0.9944746833727371 |        3.690706947763937         | 78.78613666554739  |   2.9432339913428573   |            nan            |
|          190          |  0.9933890149596212 |        3.7141481941174295        | 81.15184651538016  |   2.960948256118943    |            nan            |
+-----------------------+---------------------+----------------------------------+--------------------+------------------------+---------------------------+
