+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                             Results of the Number Partitioning problem                                                            |
+--------------------------------+---------------------+----------------------------------+--------------------+------------------------+---------------------------+
| Amount of numbers to partition | Model Creation Time | Solver Creation + Transform Time |     Solve Time     | Overall Execution Time | number of search branches |
+--------------------------------+---------------------+----------------------------------+--------------------+------------------------+---------------------------+
|               10               |  0.9861115657008698 |        4.239003222618503         | 5.895426469273798  |   3.1253854731520416   |            nan            |
|               20               |  1.0052527745480984 |        5.083724791345059         | 8.129445743109367  |   3.5031100055095252   |            nan            |
|               30               |  1.001863514322269  |         5.38829342440271         | 12.595257979358497 |   3.647175130982879    |            nan            |
|               40               |  0.9962516169082037 |        5.514711683412914         | 14.265978330729114 |   3.6855535055354967   |            nan            |
|               50               |  0.9976841200359594 |        5.672581835061851         | 18.854552197135284 |   3.7660215166424713   |            nan            |
|               60               |  1.0031663246238258 |        5.728759863180824         | 21.315060856624598 |   3.7971045291065004   |            nan            |
|               70               |  0.995099023420761  |         5.74096400306273         | 25.563494687405765 |   3.7986946371032495   |            nan            |
|               80               |  0.9944124308879644 |        5.770038794121192         | 28.316628718265914 |   3.811106920960982    |            nan            |
|               90               |  1.000280109561791  |        5.868890816274101         | 32.98925809482263  |   3.8686243712595427   |            nan            |
|              100               |  0.9946343788717954 |        5.8412613095244295        | 34.389667732085265 |   3.8521338371173153   |            nan            |
|              110               |  0.9985653666325734 |        5.896013390463919         | 36.86398021329447  |   3.876697959612204    |            nan            |
|              120               |   0.98921041712157  |        5.853854004245757         | 40.83816770505071  |   3.844926398090322    |            nan            |
|              130               |  0.9942838644297579 |        5.895451348323249         | 44.57513916668473  |   3.8762317413534264   |            nan            |
|              140               |  0.9953430452005164 |        5.904573211134048         | 50.90078452151848  |   3.8853905645483957   |            nan            |
|              150               |  0.9935635374990438 |        5.908972731359744         | 50.789186355408155 |   3.879823659866955    |            nan            |
|              160               |  0.998362258537964  |        5.926628412658801         | 57.62615252011623  |   3.8977455388261983   |            nan            |
|              170               |  0.9955382887856206 |        5.951712357674785         | 65.78886657029335  |   3.908208044018847    |            nan            |
|              180               |  0.9924272694468623 |        5.948613646550628         | 62.05111252049933  |   3.900800028970086    |            nan            |
|              190               |  0.9972292231960465 |        5.975086031630014         | 69.98862825819207  |   3.9218149026533915   |            nan            |
+--------------------------------+---------------------+----------------------------------+--------------------+------------------------+---------------------------+
