+--------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                        Results of the Duplicates problem without CSE                                                         |
+------------------------+----------------------+----------------------------------+----------------------+------------------------+---------------------------+
| Numbers of repetitions | Model Creation Time  | Solver Creation + Transform Time |      Solve Time      | Overall Execution Time | number of search branches |
+------------------------+----------------------+----------------------------------+----------------------+------------------------+---------------------------+
|          1000          | 0.009748383308760822 |       0.12159680854529142        | 0.010941541637293994 |   0.1427631248952821   |            0.0            |
|          1500          | 0.014420233550481498 |        0.1796884458977729        | 0.012576370919123291 |  0.20730967929121108   |            0.0            |
|          2000          | 0.019361554202623664 |        0.2399049166124314        | 0.016658408334478736 |  0.27691699990537016   |            0.0            |
|          2500          |  0.0239345041802153  |       0.29902445841580627        | 0.019692295882850885 |   0.3438712210860103   |            0.0            |
|          3000          | 0.02891022090334445  |       0.35973565010353925        | 0.02367437907960266  |  0.41382516247685996   |            0.0            |
|          3500          | 0.033440237515605986 |        0.4192432124633342        | 0.027205508248880506 |  0.48167759985662995   |            0.0            |
|          4000          | 0.038395653991028664 |       0.48187099155038593        | 0.03054313319735229  |   0.5530371085973457   |            0.0            |
|          4500          | 0.04418187502305955  |        0.5570489125326276        | 0.03616644558496773  |   0.6399558874545619   |            0.0            |
|          5000          | 0.048288337397389115 |        0.6072999459225684        | 0.03858815433923155  |   0.6969270332483575   |            0.0            |
|          5500          |  0.0535811458947137  |        0.6908802249236032        | 0.04332311649341136  |   0.7908394581172615   |            0.0            |
|          6000          | 0.05765850841999054  |        0.7214297877158969        | 0.04591343344654888  |   0.828188966657035    |            0.0            |
|          6500          | 0.06352392500266432  |        0.8028173748636618        |  0.0516258834162727  |   0.9215916750952602   |            0.0            |
|          7000          | 0.06815089152660221  |        0.8733689084416255        | 0.05637273753527552  |   1.002064995910041    |            0.0            |
|          7500          |  0.072592220781371   |        0.9310737667139619        | 0.05946597510483116  |   1.067674712371081    |            0.0            |
|          8000          | 0.07729366656858475  |        0.980583016667515         | 0.06395340859889984  |   1.126621254417114    |            0.0            |
|          8500          | 0.08137367921881378  |        1.028014937369153         | 0.06630756240338087  |   1.1806848250096664   |            0.0            |
|          9000          | 0.08734230019617825  |        1.1115117832552641        | 0.07165879153180868  |   1.2760621999856085   |            0.0            |
|          9500          |  0.0909424084238708  |        1.1427044581854715        | 0.07448305422440171  |   1.3135020710527896   |            0.0            |
|         10000          |  0.0963440456893295  |        1.2132662501186133        | 0.07900620817672462  |   1.3945463123498485   |            0.0            |
+------------------------+----------------------+----------------------------------+----------------------+------------------------+---------------------------+
