+---------------------------------------------------------------------------------------------------------------------------------+
|                                         Results of the Permutations problem without CSE                                         |
+-----------------------+----------------------+----------------------------------+----------------------+------------------------+
| Amount of repetitions | Model Creation Time  | Solver Creation + Transform Time |      Solve Time      | Overall Execution Time |
+-----------------------+----------------------+----------------------------------+----------------------+------------------------+
|           10          | 0.014175212581176311 |       0.13215937099885194        | 0.008436429197899997 |  0.15574360429309309   |
|           20          | 0.027986800100188704 |        0.2498709624982439        | 0.00822461659554392  |  0.28718151660868896   |
|           30          | 0.041361420904286204 |       0.36682732481276614        | 0.00849312508944422  |  0.41793763330206274   |
|           40          | 0.05519648739136755  |       0.48705071659060195        | 0.008979820599779486 |   0.5526441832189448   |
|           50          | 0.06911959180142731  |        0.6124039458227344        | 0.009364895569160581 |   0.6925595330889337   |
|           60          | 0.08254543330986053  |        0.7312939583905973        | 0.009842037479393185 |   0.8254640793078579   |
|           70          | 0.09655327508226037  |         0.85139855009038         | 0.010291495802812278 |   0.9602567206020467   |
|           80          | 0.11032900412101299  |        0.972395629005041         | 0.010520000022370368 |   1.0953329874784685   |
|           90          | 0.12388207899639384  |        1.0943655041977762        | 0.011130562389735133 |   1.2317089376156218   |
|          100          |  0.1381881376146339  |        1.2473102291231044        | 0.011502978892531246 |   1.3994887833250687   |
|          110          | 0.15231841672211885  |        1.3638991168234498        | 0.011997441505081951 |   1.530800945905503    |
|          120          | 0.16327314999653025  |        1.435364179208409         | 0.011845025198999793 |    1.61287013750989    |
|          130          | 0.17664866271661595  |        1.5547862876788714        | 0.012239887507166713 |   1.7462272164877504   |
|          140          | 0.19061503739794716  |        1.680209704011213         | 0.012627233366947621 |   1.8861552166985347   |
|          150          | 0.20482758349971847  |        1.8007346290862187        | 0.013092604093253612 |   2.0215299250325187   |
|          160          | 0.21794923341367395  |        1.919988649908919         | 0.01359434159239754  |   2.1546502707875335   |
|          170          |  0.2328640624997206  |        2.0522456543054433        | 0.014041354088112712 |   2.302568791701924    |
|          180          | 0.24512058718828483  |        2.1659244999871587        | 0.014481508196331561 |   2.429098591802176    |
|          190          |  0.2599661417072639  |        2.305571641831193         | 0.01487116259522736  |   2.5842126749339513   |
|          200          |  0.2728022041963413  |        2.4216501624672673        | 0.015146858303342014 |   2.7135774874011984   |
+-----------------------+----------------------+----------------------------------+----------------------+------------------------+
