+-----------------------------------+----------------------+----------------------------------+---------------------+------------------------+--------------------+
|            Problem Name           | Model Creation Time  | Solver Creation + Transform Time |      Solve Time     | Overall Execution Time | Number of Branches |
+-----------------------------------+----------------------+----------------------------------+---------------------+------------------------+--------------------+
|  Problem 4/72  (Regin & Puget #1) |     Passes limit     |           Passes limit           |     Passes limit    |   20.617566874999966   |    Passes limit    |
|  Problem 6/76 (Regin & Puget #2)  |     Passes limit     |           Passes limit           |     Passes limit    |   20.593586708999965   |    Passes limit    |
|  Problem 10/93 (Regin & Puget #3) |     Passes limit     |           Passes limit           |     Passes limit    |   20.674433666999903   |    Passes limit    |
|           Problem 16/81           | 0.016141999999945256 |        0.6166113749998203        | 0.17878174999987095 |   0.812272584000084    |        1130        |
| Problem 19/71  (Regin & Puget #4) |     Passes limit     |           Passes limit           |     Passes limit    |   20.643378457999916   |    Passes limit    |
|           Problem 21/90           | 0.015334832999997161 |        0.5496375409998109        | 0.14756420799994885 |   0.7131479590000254   |        1068        |
|           Problem 36/92           |  0.0158795000002101  |        0.5325806250000369        | 0.14899312499983353 |   0.6980609590000313   |        1134        |
|           Problem 41/66           | 0.01487595800017516  |       0.46272437499987973        | 0.11166904199990313 |   0.5898462500001642   |        918         |
|           Problem 26/82           | 0.015818291999948997 |        0.5720545829999537        | 0.15678895799987913 |   0.7452889579999464   |        1256        |
|           Problem 60-01           | 0.03848591599989959  |        1.1802823329999228        |  0.455012207999971  |   1.6751585420001902   |       11400        |
|           Problem 60-02           | 0.032296332999976585 |        0.8743039170001339        | 0.47663612500014096 |   1.3844464579999567   |        8600        |
|           Problem 60-03           | 0.038708583000016006 |        1.1815796250000403        | 0.49228416599999036 |   1.713951957999825    |       11411        |
|           Problem 60-04           | 0.03434804199991959  |        0.9205692909999925        | 0.38874133300009817 |    1.34491416700007    |        9000        |
|           Problem 60-05           | 0.03438962499990339  |        1.0043867089998457        | 0.38467837500002133 |   1.4247817919999761   |        9800        |
