+-----------------------------------------------------------------------------------------------------------------------------------+
|                                           Results of the Duplicates problem without CSE                                           |
+------------------------+----------------------+----------------------------------+-----------------------+------------------------+
| Numbers of repetitions | Model Creation Time  | Solver Creation + Transform Time |       Solve Time      | Overall Execution Time |
+------------------------+----------------------+----------------------------------+-----------------------+------------------------+
|          1000          | 0.009739625011570751 |       0.15066848329734056        | 0.0071639666799455885 |  0.16856587522197514   |
|          1500          | 0.014533045701682568 |       0.21782913737697526        | 0.0070458457339555025 |  0.24045510817086324   |
|          2000          | 0.019163670693524183 |        0.2884763458161615        |  0.007243933307472616 |   0.3159950583009049   |
|          2500          | 0.02392166681820527  |        0.3587550583179109        |  0.007545220875181257 |  0.39147528329631315   |
|          3000          | 0.029115591722074896 |       0.43789685419760643        |  0.008154537598602473 |   0.4766681334003806   |
|          3500          | 0.03382635010639205  |        0.5100366833969019        |  0.008244091481901705 |   0.5536831625038758   |
|          4000          | 0.03831746251089498  |        0.5713504042010754        |  0.008282562310341746 |   0.6195519418106414   |
|          4500          | 0.044415504031348974 |        0.6589917251025327        |  0.00884372511645779  |   0.714136587723624    |
|          5000          | 0.04790140001568943  |        0.7174935958348214        |  0.008868570998311042 |   0.7760747541906312   |
|          5500          | 0.052756754180882125 |        0.7834471996873618        |  0.009096416598185896 |   0.8472143540042453   |
|          6000          | 0.05745357908308506  |        0.8558097834116779        |  0.009459295589476825 |   0.924833012581803    |
|          6500          | 0.06264528738101945  |        0.934545858297497         |  0.009884500107727946 |   1.009332228905987    |
|          7000          | 0.06684963768348098  |        1.006578774889931         |  0.010036658181343227 |   1.0858429415035062   |
|          7500          | 0.07379360008053482  |        1.0803137042210438        |  0.010438520996831357 |   1.1671305915922858   |
|          8000          | 0.07668497499544173  |        1.1411586832022294        |  0.01054494989803061  |   1.2310070540872402   |
|          8500          | 0.08110820007277653  |        1.205258870869875         |  0.010766641702502966 |   1.2998082125908694   |
|          9000          | 0.08588417908176779  |        1.2864116750541144        |  0.011175491590984165 |   1.386319695902057    |
|          9500          | 0.09109182910760864  |        1.351691833313089         |  0.011415808496531099 |   1.4571972457924858   |
|         10000          | 0.09551881230436265  |        1.4257492708158679        |  0.011643500090576709 |   1.536075733380858    |
+------------------------+----------------------+----------------------------------+-----------------------+------------------------+
