+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                             Results of the Car Sequence problem with CSE (average of 10 iterations)                                             |
+-----------------------------------+----------------------+----------------------------------+---------------------+------------------------+--------------------+
|            Problem Name           | Model Creation Time  | Solver Creation + Transform Time |      Solve Time     | Overall Execution Time | Number of Branches |
+-----------------------------------+----------------------+----------------------------------+---------------------+------------------------+--------------------+
|  Problem 4/72  (Regin & Puget #1) |        408.0         |              408.0               |        408.0        |   20.601549597030196   |       408.0        |
|  Problem 6/76 (Regin & Puget #2)  |        408.0         |              408.0               |        408.0        |   20.596948874997906   |       408.0        |
|  Problem 10/93 (Regin & Puget #3) |        408.0         |              408.0               |        408.0        |    20.6643628886668    |       408.0        |
|           Problem 16/81           | 0.01579979166854173  |        0.6117867360201975        | 0.17896347232939055 |   0.8079757496792203   | 1046.6666666666667 |
| Problem 19/71  (Regin & Puget #4) |        408.0         |              408.0               |        408.0        |   20.633005667012185   |       408.0        |
|           Problem 21/90           | 0.01463315263390541  |        0.5461483056036135        |  0.1479444863895575 |   0.7105510136655843   | 1079.3333333333333 |
|           Problem 36/92           | 0.014239416651738187 |        0.5246057359812161        | 0.14968958330185464 |   0.6904200830031186   |       998.0        |
|           Problem 41/66           | 0.013138249982148409 |       0.46060909730537486        | 0.11269718032175054 |   0.5886429306895783   | 964.6666666666666  |
|           Problem 26/82           | 0.014935680315829813 |        0.5676832083069409        |  0.1565671107188488 |   0.7418625413362557   | 925.3333333333334  |
|           Problem 60-01           | 0.035916610970161855 |        1.1720592360167454        |  0.4436144169885665 |   1.6568839030417923   |      11400.0       |
|           Problem 60-02           | 0.03030856974267711  |        0.866681041351209         |  0.4671261386635403 |   1.369586000374208    |       8600.0       |
|           Problem 60-03           | 0.035700013977475464 |        1.1659671389497817        |  0.4845409026602283 |   1.6968328610140209   |      11411.0       |
|           Problem 60-04           | 0.030866069331144292 |        0.9067564306703085        | 0.37478236105137813 |   1.3159992226865143   | 8105.333333333333  |
|           Problem 60-05           | 0.03227634762879461  |        0.9879207499713326        |  0.3709389166518425 |   1.3987541386547189   | 5414.666666666667  |
|           Problem 60-06           |  0.0360065420002987  |        1.1750883199662592        |  12.255083444644697 |   13.483898694665791   | 43646.333333333336 |
|           Problem 60-07           | 0.033496972367477916 |        1.0453104859916493        | 0.36347416664163273 |   1.4492833333400388   |      10200.0       |
|           Problem 60-08           | 0.033294472649383046 |        1.0422115833498538        |  0.6191883746456975 |   1.7017556386223684   |      10229.0       |
|           Problem 60-09           | 0.032025749989164375 |        0.9584835832938552        |   7.93119311099872  |   8.933575847341368    |      23905.0       |
|           Problem 60-10           | 0.035838096984662116 |        1.1697812639952947        |  0.4533288057039802 |   1.6640906523292263   |      10694.0       |
|           Problem 65-01           | 0.037502792004185416 |        1.2609954029709722        |  0.9909291942991937 |   2.2930902363344408   | 12294.666666666666 |
|           Problem 65-02           | 0.03425437495267639  |        1.0851388193744544        |  0.5111839579961573 |   1.6353962360493217   |      10600.0       |
|           Problem 65-03           | 0.036491541347155966 |        1.2097577083623037        |  0.4634369166257481 |   1.7139514583395794   |      11800.0       |
|           Problem 65-04           | 0.03348026405243824  |        1.0401766253247235        |  0.8693637360120192 |   1.948052777714717    | 10233.666666666666 |
|           Problem 65-05           | 0.03506541702275475  |        1.126148888724856         |  0.4512595557219659 |   1.6164425280100356   |      11000.0       |
|           Problem 65-06           | 0.03623333332749704  |        1.1724301530048251        |   6.88747891698343  |   8.099297777671987    |      19344.0       |
|           Problem 65-07           | 0.03604398566919068  |        1.1709645413405572        |  0.6172005139912168 |   1.8263972359709442   |      11406.0       |
|           Problem 65-08           | 0.033751208296356104 |        1.0438477500186611        | 0.42025631964982796 |   1.499770847032778    |      10200.0       |
|           Problem 65-09           | 0.03451245801988989  |        1.0841279026741784        |  0.6157032360400384 |   1.7383688333599518   |      10622.0       |
|           Problem 65-10           | 0.03669068062057098  |        1.2161777355941013        |  0.5250083193726217 |   1.780792388948612    |       2140.0       |
|           Problem 70-01           | 0.03766826396652808  |        1.259824888703103         |  0.7103381250053644 |   2.0121891806678227   |      12219.0       |
|           Problem 70-02           | 0.03511118104991814  |        1.1175074306859945        |  0.529381833349665  |   1.6970008613619332   |      11000.0       |
+-----------------------------------+----------------------+----------------------------------+---------------------+------------------------+--------------------+
