+-------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                       Results of the Permutations problem without CSE                                                       |
+-----------------------+----------------------+----------------------------------+----------------------+------------------------+---------------------------+
| Amount of repetitions | Model Creation Time  | Solver Creation + Transform Time |      Solve Time      | Overall Execution Time | number of search branches |
+-----------------------+----------------------+----------------------------------+----------------------+------------------------+---------------------------+
|           10          | 0.016877625207416713 |       0.09271397488191724        | 0.010557946003973483 |  0.12042341253254563   |            0.0            |
|           20          | 0.030934012471698226 |        0.1874598376220092        | 0.018853808217681945 |  0.23786960006691515   |            0.0            |
|           30          | 0.04861056271474808  |        0.2927955000195652        | 0.02968635398428887  |   0.3722125833854079   |            0.0            |
|           40          | 0.06262011267244816  |        0.3802711124299094        | 0.03662128748837858  |   0.4809477792587131   |            0.0            |
|           50          |  0.0785742666805163  |       0.46974381257314235        | 0.04620533741544932  |   0.5963345375610516   |            0.0            |
|           60          | 0.09288793343584985  |        0.5659940748941154        | 0.05372508319560439  |   0.7147594833979383   |            0.0            |
|           70          | 0.10711964168585837  |        0.6511743292212486        | 0.06223035010043532  |   0.8230947707779706   |            0.0            |
|           80          | 0.12401905814185739  |        0.7520396665902809        | 0.07104534157551826  |   0.9500566083239391   |            0.0            |
|           90          |  0.1389516333816573  |        0.8460114246699959        | 0.08142669568769634  |   1.0696632208768277   |            0.0            |
|          100          | 0.16298776667099446  |        0.9696161622414365        |  0.0909717625239864  |   1.2273548830999061   |            0.0            |
|          110          | 0.16934376261197032  |        1.022130841598846         | 0.09699365012347698  |   1.292437912407331    |            0.0            |
|          120          | 0.18902065411675723  |        1.161270745913498         | 0.11258987479377539  |   1.467542550060898    |            0.0            |
|          130          | 0.20447523309849203  |        1.232636325038038         | 0.11805121251381934  |   1.5597643081797288   |            0.0            |
|          140          |  0.2167997165583074  |        1.3033088584663346        | 0.12603171679656952  |   1.6511747292010113   |            0.0            |
|          150          | 0.22950777907390146  |        1.384550879127346         | 0.13548729985486715  |   1.754754470847547    |            0.0            |
|          160          | 0.24664546663407236  |        1.5093290003249422        | 0.14509374571498485  |   1.9066798499785365   |            0.0            |
|          170          | 0.26752198750618844  |        1.6240068335318938        | 0.15718941255472602  |   2.0551919751102106   |            0.0            |
|          180          | 0.28386967510450634  |         1.70014521679841         | 0.16612009585369378  |    2.15654162093997    |            0.0            |
|          190          |  0.2914338333066553  |        1.7750095543218776        | 0.17233582513872533  |   2.245546579407528    |            0.0            |
|          200          |  0.3046102292370051  |        1.8294508668826892        |  0.1780228957766667  |   2.3188609581906348   |            0.0            |
+-----------------------+----------------------+----------------------------------+----------------------+------------------------+---------------------------+
